	graphemes	phonemes	phones	lang
1316	it's	ˈɪts	ˈɪts	eng
1317	German	ʤˈɝmʌn	ʤˈɝmən	eng
1318	food	fˈud	fˈud	eng
1319	huh	hˈʌ	hˈʌ	eng
1320				eng
1321	and	ʌnd	æn	eng
1322	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1323	easy	ˈizi	ˈizi	eng
1324	to	tˈu	tˈu	eng
1325				eng
1326	to	tˈu	tˈu	eng
1327	make	mˈeɪk	mˈeɪk	eng
1328	and	ʌnd	æn	eng
1329				eng
1330	/sə/	sə	sə	eng
1331	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
1332	yeah	jˈæ	jˈæ	eng
1333	I	ˈaɪ	ˈaɪ	eng
1334	I	ˈaɪ	ˈaɪ	eng
1335	combine	kˈɑmbaɪn	kˈɑmbaɪn	eng
1336	the	ðʌ	ðə	eng
1337				eng
1338	the	ðʌ	ðə	eng
1339	way	wˈeɪ	wˈeɪ	eng
1340	to	tˈu	tˈu	eng
1341	cook	kˈʊk	kˈʊk	eng
1342	the	ðʌ	ðʌ	eng
1343	foods	fˈudz	fˈuz	eng
1344	coz	kˈɑz	kˈɑz	eng
1345				eng
1346	coz	kˈɑz	kˈɑz	eng
1347	the	ðʌ	ðə	eng
1348	Chinese	ʧaɪnˈiz	ʧaɪnˈiz	eng
1349	cuisine	kwɪzˈin	kwɪzˈi	eng
1350	is	ˈɪz	ˈɪz	eng
1351	complicate	kˈɑmplʌkˌeɪt	kˈɑmplʌkˌeɪt	eng
1352	and	ʌnd	æn	eng
1353	you	jˈu	jˈu	eng
1354	you	jˈu	jˈu	eng
1355	you	jˈu	jˈu	eng
1356	you're	jˈʊɹ	jˈʊɹ	eng
1357	here	hˈiɹ	hˈiɹ	eng
1358	not	nˈɑt	nˈɑt	eng
1359	for	fˈɔɹ	fˈɔɹ	eng
1360	cooking	kˈʊkɪŋ	kˈʊkɪŋ	eng
1361				eng
1362	your're	jɔɹɹ	jɔɹɹ	eng
1363	here	hˈiɹ	hˈiɹ	eng
1364	just	ʤˈʌst	ʤˈʌs	eng
1365	for	fˈɔɹ	fˈɔɹ	eng
1366	life	lˈaɪf	lˈaɪf	eng
1367	for	fˈɔɹ	fˈɔɹ	eng
1368	for	fˈɔɹ	fˈɔɹ	eng
1369	your	jˈɔɹ	jˈɔɹʔ	eng
1370	for	fˈɔɹ	fˈɔɹ	eng
1371	your	jˈɔɹ	jˈɔɹ	eng
1372	PhD	pˈiˌeɪʧdˈi	pˈɪˌeɪʧdˈi	eng
1373				eng
1374	certificate	sɝtˈɪfɪkʌt	sɝtˈɪfɪkət	eng
1375				eng
1376	I	ˈaɪ	ˈaɪ	eng
1377				eng
1378	I	ˈaɪ	ˈaɪ	eng
1379	I	ˈaɪ	ˈaɪ	eng
1380	don't	dˈoʊnt	dˈoʊnt	eng
1381				eng
1382	I	ˈaɪ	ˈaɪ	eng
1383	don't	dˈoʊnt	dˈoʊnt	eng
1384	like	lˈaɪk	lˈaɪk	eng
1385	cooking	kˈʊkɪŋ	kˈʊkɪŋ	eng
1386	very	vˈɛɹi	vˈɛɹi	eng
1387	much	mˈʌʧ	mˈʌʧ	eng
1388	but	bˈʌt	bˈʌt	eng
1389	I	ˈaɪ	ˈaɪ	eng
1390	I	ˈaɪ	ˈaɪ	eng
1391	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1392	don't	dˈoʊnt	dˈoʊnt	eng
1393	hate	hˈeɪt	hˈeɪt	eng
1394	it	ˈɪt	ˈɪt	eng
1395	yeah	jˈæ	jˈæ	eng
1396	it's	ˈɪts	ˈɪts	eng
1397	/ɪ/	ɪ	ɪ	eng
1398	it's	ˈɪts	ˈɪts	eng
1399	life	lˈaɪf	lˈaɪf	eng
1400	it's	ˈɪts	ˈɪts	eng
1401	you	jˈu	jˈuy	eng
1402	you	jˈu	jˈi	eng
1403	you	jˈu	jˈu	eng
1404	need	nˈid	nˈid	eng
1405	to	tˈu	tˈu	eng
1406	learn	lˈɝn	lˈɝn	eng
1407	to	tˈu	tˈu	eng
1408	enjoy	ˌɛnʤˈɔɪ	ˌɛnʤˈɔɪ	eng
1409	it	ˈɪt	ˈɪt	eng
1410	mh	ˈɛmˈ	ˈɛmˈ	eng
1411	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1412	you	jˈu	jˈu	eng
1413	can	kˈæn	kˈæn	eng
1414	you	jˈu	jˈu	eng
1415	can	kˈæn	kˈæn	eng
1416	find	fˈaɪnd	fˈaɪnd	eng
1417	ways	wˈeɪz	wˈeɪz	eng
1418	that	ðˈæt	ðˈæt	eng
1419	not	nˈɑt	nˈɑt	eng
1420	so	sˈoʊ	sˈoʊ	eng
1421	complicated	kˈɑmplʌkˌeɪtʌd	kˈɑmplʌkˌeɪted	eng
1422	so	sˈoʊ	sˈoʊ	eng
1423	/ʤ/	ʤ	ʤ	eng
1424	German	ʤˈɝmʌn	ʤˈɝmən	eng
1425	Chinese	ʧaɪnˈiz	ʧaɪnˈiz	eng
1426				eng
1427				eng
1428				eng
1429	yeah	jˈæ	jˈæ	eng
1430	but	bˈʌt	bˈʌ	eng
1431	/w/	w	w	eng
1432	when	wˈɛn	wˈən	eng
1433	my	mˈaɪ	mˈaɪ	eng
1434	when	wˈɛn	wˈən	eng
1435	my	mˈaɪ	mˈaɪ	eng
1436	boyfriend	bˈɔɪfɹˌɛnd	bˈɔɪfɹˌɛnd	eng
1437	was	wˈɑz	wˈɑz	eng
1438	here	hˈiɹ	hˈiɹ	eng
1439	he	hˈi	xˈi	eng
1440	he	hˈi	xˈi	eng
1441	cooks	kˈʊks	kˈʊks	eng
1442	he	hˈi	hˈi	eng
1443	cooks	kˈʊks	kˈʊks	eng
1444	every	ˈɛvɝi	ˈɛvɝi	eng
1445	day	dˈeɪ	dˈeɪ	eng
1446				eng
1447	Chinese	ʧaɪnˈiz	ʧaɪnˈiz	eng
1448	foods	fˈudz	fˈudz	eng
1449	then	ðˈɛn	ðˈɛn	eng
1450	quite	kwˈaɪt	kwˈaɪt	eng
1451	a	ʌ	ʌ	eng
1452	wonderful	wˈʌndɝfʌl	wˈʌndɝfʌl	eng
1453	time	tˈaɪm	tˈaɪm	eng
1454	but	bˈʌt	bˈʌ	eng
1455	now	nˈaʊ	nˈaʊ	eng
1456	I	ˈaɪ	ˈaɪ	eng
1457	have	hˈæv	hˈæv	eng
1458	to	tˈu	tˈu	eng
1459				eng
1460	cook	kˈʊk	kˈʊk	eng
1461	myself	mˌaɪsˈɛlf	mˌaɪsˈɛlf	eng
1462	and	ʌnd	ænʔ	eng
1463	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
1464	I	ˈaɪ	ˈaɪ	eng
1465	would	wˈʊd	wˈʊd	eng
1466	buy	bˈaɪ	bˈaɪ	eng
1467	foods	fˈudz	fˈʊdz	eng
1468	from	fɹˈʌm	fɹˈʌm	eng
1469	the	ðʌ	ðə	eng
1470	Asian	ˈeɪʒʌn	ˈeɪʃən	eng
1471	Asian	ˈeɪʒʌn	ˈeɪʃən	eng
1472	market	mˈɑɹkʌt	mˈɑɹkt	eng
1473	online	ˈɔnlˌaɪn	ˈɔnlˌaɪn	eng
1474	I	ˈaɪ	ˈaɪ	eng
1475	I	ˈaɪ	ˈaɪ	eng
1476	recommend	ɹˌɛkʌmˈɛnd	ɹˌɛkʌmˈɛnd	eng
1477	it	ˈɪt	ˈɪt	eng
1478	to	tˈu	tˈu	eng
1479	you	jˈu	jˈu	eng
1480				eng
1481	coz	kˈɑz	kˈɑz	eng
1482	yeah	jˈæ	jˈæ	eng
1483				eng
1484	some	sˈʌm	sˈʌm	eng
1485	websites	wˈɛbsˌaɪts	wˈæbsˌaɪts	eng
1486	are	ˈɑɹ	ˈɑɹ	eng
1487	have	hˈæv	hˈæv	eng
1488	German	ʤˈɝmʌn	ʤˈɝmən	eng
1489	or	ˈɔɹ	ˈɔɹ	eng
1490	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
1491	versions	vˈɝʒʌnz	vˈɝʒʌnz	eng
1492	mh	ˈɛmˈ	ˈɛmˈ	eng
1493				eng
1494	and	ʌnd	æn	eng
1495	some	sˈʌm	sˈʌm	eng
1496	sauces	sˈɔsʌz	sˈɔrsʌz	eng
1497	some	sˈʌm	sˈʌm	eng
1498				eng
1499	some	sˈʌm	sˈʌm	eng
1500	noodles	nˈudʌlz	nˈudʌlz	eng
1501				eng
1502	you	jˈu	jˈu	eng
1503	you	jˈu	jˈu	eng
1504	you	jˈu	jˈu	eng
1505	know	nˈoʊ	nˈoʊ	eng
1506	we	wˈi	wˈi	eng
1507	have	hˈæv	hˈæv	eng
1508	kinds	kˈaɪndz	kˈaɪndz	eng
1509	of	ˈʌv	ˈʌv	eng
1510	noodles	nˈudʌlz	nˈudʌlz	eng
1511				eng
1512				eng
1513	you	jˈu	jˈu	eng
1514	can	kˈæn	kˈæn	eng
1515	buy	bˈaɪ	bˈaɪ	eng
1516	from	fɹˈʌm	fɹˈʌm	eng
1517	online	ˈɔnlˌaɪn	ˈɔnlˌaɪn	eng
1518	market	mˈɑɹkʌt	mˈɑɹkt	eng
1519	then	ðˈɛn	ðˈɛn	eng
1520				eng
1521	then	ðˈɛn	ðˈɛn	eng
1522	with	wˈɪð	wˈɪð	eng
1523	the	ðʌ	ðə	eng
1524	sauces	sˈɔsʌz	sˈɔsʌz	eng
1525	its	ˈɪts	ˈɪts	eng
1526	quite	kwˈaɪt	kwˈaɪt	eng
1527	easy	ˈizi	ˈizi	eng
1528				eng
1529	no	nˈoʊ	nˈoʊ	eng
1530	not	nˈɑt	nˈɑt	eng
1531	a	ʌ	ʌ	eng
1532	big	bˈɪg	bˈɪg	eng
1533	problem	pɹˈɑblʌm	pɹˈɑblʌm	eng
1534	not	nˈɑt	nˈɑt	eng
1535	not	nˈɑt	nˈɑt	eng
1536	hard	hˈɑɹd	hˈɑɹd	eng
1537	to	tˈu	tˈu	eng
1538	solve	sˈɑlv	sˈɑlv	eng
1539				eng
1540				eng
1541				eng
1542	quite	kwˈaɪt	kwˈaɪt	eng
1543	different	dˈɪfɝʌnt	dˈɪfɝʌnt	eng
1544				eng
1545	you	jˈu	jˈu	eng
1546	know	nˈoʊ	nˈoʊ	eng
1547	my	mˈaɪ	mˈaɪ	eng
1548	Indian	ˈɪndiʌn	ˈɪndiʌn	eng
1549	neighbour	nˈeɪbɝ	nˈeɪbɝɹ	eng
1550	has	hˈæz	hˈæz	eng
1551	once	wˈʌns	wˈɪns	eng
1552	complained	kʌmplˈeɪnd	kʌmplˈeɪnd	eng
1553	it	ˈɪt	ˈɪt	eng
1554	to	tˈu	tˈu	eng
1555	me	mˈi	mˈi	eng
1556	actually	ˈækʧˌuʌli	ˈækʧˌuʌli	eng
1557	we	wˈi	wˈi	eng
1558	we	wˈi	wˈi	eng
1559	complained	kʌmplˈeɪnd	kʌmplˈeɪnd	eng
1560	with	wˈɪð	wˈɪð	eng
1561	each	ˈiʧ	ˈiʧ	eng
1562	other	ˈʌðɝ	ˈʌðɝ	eng
1563	that	ðˈæt	ðˈæt	eng
1564	German	ʤˈɝmʌn	ʤˈɝmən	eng
1565	guys	gˈaɪz	gˈaɪz	eng
1566	don't	dˈoʊnt	dˈoʊnt	eng
1567	like	lˈaɪk	lˈaɪk	eng
1568	to	tˈu	tˈu	eng
1569	eat	ˈit	ˈit	eng
1570	spicy	spˈaɪsi	spˈaɪsi	eng
1571	food	fˈud	fˈud	eng
1572				eng
1573	no	nˈoʊ	nˈoʊ	eng
1574	spices	spˈaɪsʌz	spˈaɪsʌz	eng
1575				eng
1576	/ɑ/ 	ɑ 	ɑ 	eng
1577	/ɑ/ 	ɑ 	ɑ 	eng
1578	are	ˈɑɹ	ˈɑɹ	eng
1579	you	jˈu	jˈu	eng
1580	serious	sˈɪɹiʌs	sˈɪɹiʌs	eng
1581	that	ðˈæt	ðˈæt	eng
1582	the	ðʌ	ðə	eng
1583				eng
1584	the	ðʌ	ðə	eng
1585	the	ðʌ	ðə	eng
1586	peppers	pˈɛpɝz	pˈɛpɝz	eng
1587	or	ˈɔɹ	ˈɔɹ	eng
1588	chilies	ʧˈɪliz	ʧˈɪliz	eng
1589	are	ˈɑɹ	ˈɑɹ	eng
1590	sweet	swˈit	swˈit	eng
1591				eng
1592	beefsteak	bˈifstˌeɪk	bˈɪfstˌeɪk	eng
1593				eng
1594	I	ˈaɪ	ˈaɪ	eng
1595	have	hˈæv	hˈæv	eng
1596	to	tˈu	tˈu	eng
1597	say	sˈeɪ	sˈeɪ	eng
1598	beefsteak	bˈifstˌeɪk	bˈifstˌeɪk	eng
1599	and	ʌnd	æn	eng
1600	uh	ˈʌ	ˈʌ	eng
1601				eng
1602	mh	ˈɛmˈ	ˈɛmˈ	eng
1603	fried	fɹˈaɪd	fɹˈaɪd	eng
1604	potatoes	pʌtˈeɪtoʊz	pʌtˈeɪtoʊz	eng
1605	yeah	jˈæ	jˈæ	eng
1606	I	ˈaɪ	ˈaɪ	eng
1607	like	lˈaɪk	lˈaɪk	eng
1608	potatoes	pʌtˈeɪtoʊz	pʌtˈeɪtoʊz	eng
1609				eng
1610				eng
1611	/ɪ/	ɪ	ɪ	eng
1612	if	ˈɪf	ˈɪf	eng
1613	I	ˈaɪ	ˈaɪ	eng
1614	have	hˈæv	hˈæv	eng
1615	to	tˈu	tˈu	eng
1616	say	sˈeɪ	sˈeɪ	eng
1617	potato	pʌtˈeɪtˌoʊ	pʌtˈeɪtˌoʊ	eng
1618	chips	ʧˈɪps	ʧˈɪps	eng
1619	but	bˈʌt	bˈʌt	eng
1620	but	bˈʌt	bˈʌt	eng
1621	you	jˈu	jˈu	eng
1622	can	kˈæn	kˈæn	eng
1623	you	jˈu	jˈu	eng
1624	can	kˈæn	kˈæn	eng
1625	find	fˈaɪnd	fˈaɪnd	eng
1626	potato	pʌtˈeɪtˌoʊ	pʌtˈeɪtˌoʊ	eng
1627	chips	ʧˈɪps	ʧˈɪps	eng
1628	everywhere	ˈɛvɹiwˌɛɹ	ˈɛvɹiwˌɛɹ	eng
1629				eng
1630	I	ˈaɪ	ˈaɪ	eng
1631	mean	mˈin	mˈin	eng
1632	at	ˈæt	ˈæt	eng
1633	at	ˈæt	ˈæt	eng
1634	least	lˈist	lˈɪst	eng
1635	in	ɪn	ɪn	eng
1636	McDonald	mʌkdˈɑnʌld	mʌkdˈɑnʌld	eng
1637				eng
1638	that	ðˈæt	ðˈæ	eng
1639	that	ðˈæt	ðˈæ	eng
1640	that's	ðˈæts	ðˈæts	eng
1641	not	nˈɑt	nˈɑt	eng
1642	a	ʌ	ʌ	eng
1643	traditional	tɹʌdˈɪʃʌnʌl	tɹʌdˈɪʃʌnʌl	eng
1644	German	ʤˈɝmʌn	ʤˈɝmən	eng
1645	food	fˈud	fˈʊd	eng
1646	/æ/	æ	æ	eng
1647	and	ʌnd	æn	eng
1648	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1649	uh	ˈʌ	ˈʌ	eng
1650				eng
1651	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
1652	Sauerkraut	sˈaʊɝkɹˌaʊt	sˈaʊɝkɹˌaʊt	eng
1653	is	ˈɪz	ˈɪz	eng
1654				eng
1655	good	gˈʊd	gˈud	eng
1656				eng
1657	but	bˈʌt	bˈʌ	eng
1658	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
1659	it's	ˈɪts	ˈɪts	eng
1660	too	tˈu	tˈu	eng
1661				eng
1662	the	ðʌ	ðe	eng
1663	the	ðʌ	ðə	eng
1664	the	ðʌ	ðə	eng
1665	flavor	flˈeɪvɝ	flˈeɪvor	eng
1666	the	ðʌ	ðə	eng
1667	flavor	flˈeɪvɝ	flˈeɪvɝ	eng
1668	is	ˈɪz	ˈɪz	eng
1669	too	tˈu	tˈu	eng
1670	strong	stɹˈɔŋ	stɹˈɔŋ	eng
1671	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
1672	and	ʌnd	æn	eng
1673	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1674				eng
1675				eng
1676				eng
1677	/ɪ/	ɪ	ɪ	eng
1678	it	ˈɪt	ˈɪt	eng
1679	makes	mˈeɪks	mˈeɪks	eng
1680	you	jˈu	jˈu	eng
1681	full	fˈʊl	fˈʊ	eng
1682	enjoyful	ɛnd͡ʒowfəl	ɛnd͡ʒowful	eng
1683	and	ʌnd	ænd	eng
1684				eng
1685	my	mˈaɪ	mˈaɪ	eng
1686	my	mˈaɪ	mˈaɪ	eng
1687	my	mˈaɪ	mˈaɪ	eng
1688	Indian	ˈɪndiʌn	ˈɪndiʌn	eng
1689	neighbour	nˈeɪbɝ	nˈeɪbɝ	eng
1690	doesn't	dˈʌzʌnt	dˈʌzʌnt	eng
1691	eat	ˈit	ˈit	eng
1692	meat	mˈit	mˈit	eng
1693	I	ˈaɪ	ˈaɪ	eng
1694	I	ˈaɪ	ˈaɪ	eng
1695	think	θˈɪŋk	sˈɪŋk	eng
1696	they	ðˈeɪ	ðˈeɪ	eng
1697	they	ðˈeɪ	ðˈeɪ	eng
1698	have	hˈæv	hˈæv	eng
1699	lost	lˈɔst	lˈɔst	eng
1700				eng
1701	half	hˈæf	hˈæf	eng
1702	of	ˈʌv	ˈʌv	eng
1703	the	ðʌ	ðə	eng
1704	world	wˈɝld	wˈɝld	eng
1705				eng
1706	they	ðˈeɪ	ðˈeɪ	eng
1707	they	ðˈeɪ	ðˈeɪ	eng
1708	would	wˈʊd	wˈʊd	eng
1709	give	gˈɪv	gˈɪv	eng
1710				eng
1711	give	gˈɪv	gˈɪv	eng
1712	some	sˈʌm	sˈʌm	eng
1713	Indian	ˈɪndiʌn	ˈɪndiʌn	eng
1714	food	fˈud	fˈud	eng
1715	to	tˈu	tˈu	eng
1716	me	mˈi	mˈi	eng
1717	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
1718				eng
1719	I	ˈaɪ	ˈaɪ	eng
1720	still	stˈɪl	stˈɪl	eng
1721	like	lˈaɪk	lˈaɪk	eng
1722	Chinese	ʧaɪnˈiz	ʧaɪnˈiz	eng
1723	and	ʌnd	ʌnd	eng
1724	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1725	German	ʤˈɝmʌn	ʤˈɝmən	eng
1726	food	fˈud	fˈud	eng
1727				eng
1728	and	ʌnd	æn	eng
1729	and	ʌnd	æn	eng
1730	they	ðˈeɪ	ðˈeɪ	eng
1731	smashed	smˈæʃt	smˈæʃt	eng
1732	everything	ˈɛvɹiθˌɪŋ	ˈɛvɹiθˌɪŋ	eng
1733	they	ðˈeɪ	ðˈeɪ	eng
1734	smashed	smˈæʃt	smˈæʃt	eng
1735	vegetables	vˈɛʤtʌbʌlz	vˈɛʤʌbəlz	eng
1736	they	ðˈeɪ	ðˈeɪ	eng
1737	/smə/	smə	smə	eng
1738	they	ðˈeɪ	ðˈeɪ	eng
1739	smashed	smˈæʃt	smˈæʃt	eng
1740	meat	mˈit	mˈit	eng
1741	vegetables	vˈɛʤtʌbʌlz	vˈɛʤʌbəlz	eng
1742	together	tʌgˈɛðɝ	tʌgˈɛðɝ	eng
1743	to	tˈu	tˈu	eng
1744	make	mˈeɪk	mˈeɪk	eng
1745	the	ðʌ	ðʌ	eng
1746	sauce	sˈɔs	sˈɔrs	eng
1747	to	tˈu	tˈu	eng
1748	make	mˈeɪk	mˈeɪk	eng
1749	the	ðʌ	ðə	eng
1750	dip	dˈɪp	dˈɪp	eng
1751	sauce	sˈɔs	sˈɔrs	eng
1752				eng
1753	then	ðˈɛn	ðˈɪn	eng
1754	you	jˈu	jˈu	eng
1755	wonder	wˈʌndɝ	wˈʌndɝ	eng
1756	what	wˈʌt	wˈʌt	eng
1757	am	ˈæm	ˈæm	eng
1758	I	ˈaɪ	ˈaɪ	eng
1759	eating	ˈitɪŋ	ˈitɪŋ	eng
1760	actually	ˈækʧˌuʌli	ˈækʧˌuʌli	eng
1761				eng
1762	/ɑ/	ɑ	ɑ	eng
1763	/ɑ/	ɑ	ɑ	eng
1764	are	ˈɑɹ	ˈɑ	eng
1765	this	ðˈɪs	ðˈɪs	eng
1766	your	jˈɔɹ	jˈɔɹ	eng
1767	dishes	dˈɪʃʌz	dˈɪʃəz	eng
1768	no	nˈoʊ	nˈoʊ	eng
1769	they	ðˈeɪ	ðˈeɪ	eng
1770	are	ˈɑɹ	ˈɑɹ	eng
1771	sauce	sˈɔs	sˈɔrs	eng
1772				eng
1773	a	ʌ	ʌ	eng
1774	flour	flˈaʊɝ	flˈaʊɝɹ	eng
1775	made	mˈeɪd	mˈeɪd	eng
1776	into	ˈɪntu	ˈɪntu	eng
1777	the	ðʌ	ðə	eng
1778				eng
1779	naans	nɑnz	nɑŋz	eng
1780	I	ˈaɪ	ˈaɪ	eng
1781	mean	mˈin	mˈin	eng
1782				eng
1783				eng
1784	pancakes	pˈænkˌeɪks	pˈænkˌeɪks	eng
1785	or	ˈɔɹ	ˈɔɹ	eng
1786				eng
1787	or	ˈɔɹ	ˈɔɹ	eng
1788	or	ˈɔɹ	ˈɔɹ	eng
1789	what's	wˈʌts	wˈʌts	eng
1790	that	ðˈæt	ðˈæt	eng
1791	word	wˈɝd	wˈɝd	eng
1792				eng
1793	she	ʃˈi	ʃˈɪ	eng
1794	she	ʃˈi	ʃˈɪ	eng
1795	told	tˈoʊld	tˈoʊld	eng
1796	me	mˈi	mˈi	eng
1797	I	ˈaɪ	ˈaɪ	eng
1798	forgot	fɝgˈɑt	fɝgˈɑt	eng
1799				eng
1800	uh	ˈʌ	ˈʌ	eng
1801				eng
1802	not	nˈɑt	nˈɑt	eng
1803	so	sˈoʊ	sˈoʊ	eng
1804	delicious	dɪlˈɪʃʌs	dɪlˈɪʃʌs	eng
1805	compared	kʌmpˈɛɹd	kʌmpˈɛɹd	eng
1806	to	tˈu	tˈu	eng
1807	German	ʤˈɝmʌn	ʤˈɝmən	eng
1808	breads	bɹˈɛdz	bɹˈɛdz	eng
1809				eng
1810	I	ˈaɪ	ˈaɪ	eng
1811	I	ˈaɪ	ˈaɪ	eng
1812	actually	ˈækʧˌuʌli	ˈækʧˌuʌli	eng
1813	like	lˈaɪk	lˈaɪ	eng
1814	like	lˈaɪk	lˈaɪk	eng
1815	them	ðˈɛm	ðˈɛm	eng
1816	quite	kwˈaɪt	kwˈaɪt	eng
1817				eng
1818	yeah	jˈæ	jˈæ	eng
1819	I	ˈaɪ	ˈaɪ	eng
1820	I	ˈaɪ	ˈaɪ	eng
1821	like	lˈaɪk	lˈaɪk	eng
1822	them	ðˈɛm	ðˈɛm	eng
1823				eng
1824	coz	kˈɑz	kˈɑz	eng
1825				eng
1826	mh	ˈɛmˈ	ˈɛmˈ	eng
1827				eng
1828	there	ðˈɛɹ	ðˈɛɹ	eng
1829	were	wˈɝ	wˈɝ	eng
1830	there	ðˈɛɹ	ðˈɛɹ	eng
1831	was	wˈɑz	wˈɑz	eng
1832	a	ʌ	ʌ	eng
1833	long	lˈɔŋ	lˈɔŋ	eng
1834	time	tˈaɪm	tˈaɪm	eng
1835	when	wˈɛn	wˈən	eng
1836	I	ˈaɪ	ˈaɪ	eng
1837	I	ˈaɪ	ˈaɪ	eng
1838	want	wˈɑnt	wˈɑnt	eng
1839	to	tˈu	tˈu	eng
1840	lose	lˈuz	lˈɒs	eng
1841	my	mˈaɪ	mˈaɪ	eng
1842	weight	wˈeɪt	wˈeɪt	eng
1843				eng
1844				eng
1845	you	jˈu	jˈu	eng
1846	you	jˈu	jˈu	eng
1847	can't	kˈænt	kˈant	eng
1848	eat	ˈit	ˈit	eng
1849	too	tˈu	tˈu	eng
1850	much	mˈʌʧ	mˈʌrʧ	eng
1851	everyday	ˈɛvɹidˈeɪ	ˈɛvɹidˈeɪ	eng
1852				eng
1853	and	ʌnd	æn	eng
1854				eng
1855	you	jˈu	jˈu	eng
1856	you	jˈu	jˈu	eng
1857	have	hˈæv	hˈæv	eng
1858	to	tˈu	tˈu	eng
1859	make	mˈeɪk	mˈeɪk	eng
1860	yourself	jɝsˈɛlf	jɝsˈɛlf	eng
1861	hungry	hˈʌŋgɹi	hˈʌŋgɹi	eng
1862				eng
1863	then	ðˈɛn	ðˈɪn	eng
1864	you	jˈu	jˈu	eng
1865	go	gˈoʊ	gˈoʊ	eng
1866	out	ˈaʊt	ˈaʊt	eng
1867				eng
1868	and	ʌnd	æn	eng
1869				eng
1870	how	hˈaʊ	hˈaʊ	eng
1871	to	tˈu	tˈu	eng
1872	say	sˈeɪ	sˈeɪ	eng
1873	one	wˈʌn	wˈʌn	eng
1874	hundred	hˈʌndɹʌd	hˈʌndɹʌd	eng
1875	meters	mˈitɝz	mˈitɝz	eng
1876	away	ʌwˈeɪ	ʌwˈeɪ	eng
1877	from	fɹˈʌm	fɹˈʌm	eng
1878				eng
1879	a	ʌ	ʌ	eng
1880	bakery	bˈeɪkɝi	bˈækɝi	eng
1881	then	ðˈɛn	ðˈɛn	eng
1882	you	jˈu	jˈu	eng
1883	can	kˈæn	kˈæn	eng
1884	smell	smˈɛl	smˈɛl	eng
1885	the	ðʌ	ðə	eng
1886				eng
1887	flavor	flˈeɪvɝ	flˈeɪvɝ	eng
1888	from	fɹˈʌm	fɹˈʌm	eng
1889	from	fɹˈʌm	fɹˈʌm	eng
1890	their	ðˈɛɹ	ðˈɛɹ	eng
1891	store	stˈɔɹ	stˈɔɹ	eng
1892	oh	ˈoʊ	ˈoʊ	eng
1893				eng
1894	it	ˈɪt	ˈɪt	eng
1895	attracts	ʌtɹˈækts	ʌtɹˈæks	eng
1896	me	mˈi	mˈi	eng
1897				eng
1898	oh	ˈoʊ	ˈoʊ	eng
1899	the	ðʌ	ðə	eng
1900	German	ʤˈɝmʌn	ʤˈɝmən	eng
1901	breads	bɹˈɛdz	bɹˈɛz	eng
1902	I	ˈaɪ	ˈaɪ	eng
1903	think	θˈɪŋk	θˈɪŋk	eng
1904	they	ðˈeɪ	ðˈeɪ	eng
1905	are	ˈɑɹ	ˈɑɹ	eng
1906	so	sˈoʊ	sˈoʊ	eng
1907	delicious	dɪlˈɪʃʌs	dəlˈɪʃʌs	eng
1908	I'm	ˈaɪm	ˈaɪm	eng
1909	I'm	ˈaɪm	ˈaɪm	eng
1910	so	sˈoʊ	sˈoʊ	eng
1911	hungry	hˈʌŋgɹi	hˈʌŋgɹɪ	eng
1912	I	ˈaɪ	ˈaɪ	eng
1913	I	ˈaɪ	ˈaɪ	eng
1914	want	wˈɑnt	wˈɑnt	eng
1915	to	tˈu	tˈu	eng
1916	eat	ˈit	ˈit	eng
1917	bread	bɹˈɛd	bɹˈɛd	eng
1918	and	ʌnd	ʌnd	eng
1919	I	ˈaɪ	ˈaɪ	eng
1920	can	kˈæn	kˈæn	eng
1921	I	ˈaɪ	ˈaɪ	eng
1922	can	kˈæn	kˈæn	eng
1923	just	ʤˈʌst	ʤˈʌs	eng
1924	work	wˈɝk	wˈɔk	eng
1925	out	ˈaʊt	ˈaʊt	eng
1926	for	fˈɔɹ	fˈɔɹ	eng
1927	for	fˈɔɹ	fˈɔɹ	eng
1928	only	ˈoʊnli	ˈoʊnli	eng
1929	buying	bˈaɪɪŋ	bˈaɪɪŋ	eng
1930	a	ʌ	ʌ	eng
1931	bread	bɹˈɛd	bɹˈɛd	eng
1932	yeah	jˈæ	jˈæ	eng
1933				eng
1934	and	ʌnd	æn	eng
1935	then	ðˈɛn	ðˈɛn	eng
1936				eng
1937	you	jˈu	jˈu	eng
1938	you	jˈu	jˈu	eng
1939	can	kˈæn	kˈæn	eng
1940				eng
1941	you	jˈu	jˈu	eng
1942	can	kˈæn	kˈænʔ	eng
1943				eng
